,Unnamed: 0,value,variable,layer,rs,n_samples,scaling
16,16,0.0184622531222759,ENSD,4,15,1000,0.25
17,17,1.7155676038500225,PR Pre,4,15,1000,0.25
18,18,1.2977417075456013,PR Post,4,15,1000,0.25
19,19,0.0083446016069501,Overlap,4,15,1000,0.25
20,20,0.02017281501311,ENSD,5,15,1000,0.25
21,21,1.7131359411489104,PR Pre,5,15,1000,0.25
22,22,1.3014075042346402,PR Post,5,15,1000,0.25
23,23,0.0091062355786561,Overlap,5,15,1000,0.25
24,24,0.0219258307710793,ENSD,6,15,1000,0.25
25,25,1.691299279287953,PR Pre,6,15,1000,0.25
26,26,1.3009095295871116,PR Post,6,15,1000,0.25
27,27,0.010024896201988,Overlap,6,15,1000,0.25
28,28,0.0216934742904491,ENSD,7,15,1000,0.25
29,29,1.6567447814602507,PR Pre,7,15,1000,0.25
30,30,1.3019281261792734,PR Post,7,15,1000,0.25
31,31,0.0101132079338034,Overlap,7,15,1000,0.25
0,0,0.1850982468003406,ENSD,0,26,1000,0.125
1,1,2.2525588805931034,PR Pre,0,26,1000,0.125
2,2,2.419996005881036,PR Post,0,26,1000,0.125
3,3,0.0391492874672015,Overlap,0,26,1000,0.125
4,4,0.0120064416668486,ENSD,1,26,1000,0.125
5,5,2.2028325744067754,PR Pre,1,26,1000,0.125
6,6,1.59163633765948,PR Post,1,26,1000,0.125
7,7,0.003387302509509,Overlap,1,26,1000,0.125
8,8,0.0284634978675043,ENSD,2,26,1000,0.125
9,9,2.177031896120001,PR Pre,2,26,1000,0.125
10,10,2.203344483398098,PR Post,2,26,1000,0.125
11,11,0.0059976122186829,Overlap,2,26,1000,0.125
12,12,0.0481210119876868,ENSD,3,26,1000,0.125
13,13,2.116815072843045,PR Pre,3,26,1000,0.125
14,14,1.8878434000870965,PR Post,3,26,1000,0.125
15,15,0.0120043731294572,Overlap,3,26,1000,0.125
16,16,0.0611681600293567,ENSD,4,26,1000,0.125
17,17,2.057771533142596,PR Pre,4,26,1000,0.125
18,18,1.8795038249625835,PR Post,4,26,1000,0.125
19,19,0.0157261528074741,Overlap,4,26,1000,0.125
20,20,0.0677207181889244,ENSD,5,26,1000,0.125
21,21,2.0148720170266787,PR Pre,5,26,1000,0.125
22,22,1.8707314633499807,PR Post,5,26,1000,0.125
23,23,0.0178585052490234,Overlap,5,26,1000,0.125
24,24,0.0705021108355999,ENSD,6,26,1000,0.125
25,25,1.9660071954722864,PR Pre,6,26,1000,0.125
26,26,1.8629732102802556,PR Post,6,26,1000,0.125
27,27,0.019108222797513,Overlap,6,26,1000,0.125
28,28,0.072073850872295,ENSD,7,26,1000,0.125
29,29,1.9267251535856176,PR Pre,7,26,1000,0.125
30,30,1.8734516838003208,PR Post,7,26,1000,0.125
31,31,0.0198424997118612,Overlap,7,26,1000,0.125
